left_descents,right_descents,total,changed,percentage_changed,avg_abs_mass_at_one,avg_support_size,avg_monomial_complexity,avg_max_bruhat_depth,avg_weighted_abs_degree_mass,type,family,rank,prime
1,1,135,1,0.740740740741,2.0,1.0,1.0,10.0,0.0,D6,D,6,3
1,2,262,1,0.381679389313,2.0,1.0,1.0,10.0,0.0,D6,D,6,3
1,3,117,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
1,4,16,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
2,1,262,1,0.381679389313,2.0,1.0,1.0,10.0,0.0,D6,D,6,3
2,2,2433,1,0.0411015207563,2.0,1.0,1.0,10.0,0.0,D6,D,6,3
2,3,2330,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
2,4,510,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
2,5,16,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
3,1,117,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
3,2,2330,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
3,3,5982,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
3,4,2330,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
3,5,117,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
4,1,16,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
4,2,510,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
4,3,2330,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
